"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.690190292E0,9.438919067E0,4.759326172E1,-4.515747070E0,4.872990587E1
2.700200292E0,9.438919067E0,4.759326172E1,-4.515747070E0,4.872990587E1
2.710210292E0,9.595672607E0,4.739394379E1,-4.526947021E0,4.856702678E1
2.720220292E0,9.595672607E0,4.739394379E1,-4.526947021E0,4.856702678E1
2.730229292E0,9.645324707E0,4.761550522E1,-4.570251465E0,4.879708828E1
2.740239292E0,9.645324707E0,4.761550522E1,-4.570251465E0,4.879708828E1
2.750249292E0,9.718101501E0,4.766817474E1,-4.745544434E0,4.887961305E1
2.760259292E0,9.718101501E0,4.766817474E1,-4.745544434E0,4.887961305E1
2.770268292E0,1.416297913E0,2.653716278E1,-1.108270264E1,2.879328404E1
2.780278292E0,1.416297913E0,2.653716278E1,-1.108270264E1,2.879328404E1
2.790288292E0,-1.380561829E0,1.860876083E1,-1.327270508E1,2.289883470E1
2.800298292E0,-1.380561829E0,1.860876083E1,-1.327270508E1,2.289883470E1
2.810308292E0,-1.746879578E0,1.792460251E1,-1.342288208E1,2.246144979E1
2.820317292E0,-1.746879578E0,1.792460251E1,-1.342288208E1,2.246144979E1
2.830327292E0,-1.476615906E0,1.798262215E1,-1.341833496E1,2.248570228E1
2.840337292E0,-1.417282104E0,1.783775711E1,-1.364376831E1,2.250214836E1
2.850347292E0,-1.417282104E0,1.783775711E1,-1.364376831E1,2.250214836E1
2.860356292E0,-1.617607117E0,1.799967766E1,-1.374786377E1,2.270702109E1
2.870366292E0,-1.617607117E0,1.799967766E1,-1.374786377E1,2.270702109E1
2.880376292E0,-1.633392334E0,1.800487900E1,-1.348352051E1,2.255324729E1
2.890386292E0,-1.633392334E0,1.800487900E1,-1.348352051E1,2.255324729E1
2.900365292E0,-1.865837097E0,1.823339081E1,-1.357662964E1,2.280926919E1
2.910375292E0,-1.865837097E0,1.823339081E1,-1.357662964E1,2.280926919E1
2.920384292E0,-1.741775513E0,1.775832939E1,-1.348275757E1,2.236463271E1
2.930394292E0,-1.741775513E0,1.775832939E1,-1.348275757E1,2.236463271E1
2.940404292E0,-1.770660400E0,1.774405861E1,-1.355499268E1,2.239921161E1
2.950414292E0,-1.770660400E0,1.774405861E1,-1.355499268E1,2.239921161E1
2.960424292E0,-1.566986084E0,1.780068588E1,-1.349353027E1,2.239185617E1
2.970433292E0,-1.566986084E0,1.780068588E1,-1.349353027E1,2.239185617E1
2.980443292E0,-1.492576599E0,1.785015678E1,-1.360870361E1,2.249561504E1
2.990453292E0,-1.492576599E0,1.785015678E1,-1.360870361E1,2.249561504E1
3.000463292E0,-1.604110718E0,1.809784698E1,-1.350222778E1,2.263659409E1
3.010472292E0,-1.604110718E0,1.809784698E1,-1.350222778E1,2.263659409E1
3.020482292E0,-1.806831360E0,1.812187386E1,-1.343182373E1,2.262920326E1
3.030492292E0,-1.806831360E0,1.812187386E1,-1.343182373E1,2.262920326E1
3.040502292E0,6.468544006E0,3.883774567E1,-6.880462646E0,3.996940475E1
3.050511292E0,6.468544006E0,3.883774567E1,-6.880462646E0,3.996940475E1
3.060521292E0,9.278900146E0,4.649407196E1,-4.616241455E0,4.763513830E1
3.070531292E0,9.278900146E0,4.649407196E1,-4.616241455E0,4.763513830E1
3.080541292E0,9.606719971E0,4.743218613E1,-4.581665039E0,4.861165502E1
3.090550292E0,9.606719971E0,4.743218613E1,-4.581665039E0,4.861165502E1
3.100530292E0,9.392227173E0,4.743091202E1,-4.748168945E0,4.858446721E1
3.110539292E0,9.392227173E0,4.743091202E1,-4.748168945E0,4.858446721E1
3.120549292E0,9.296134949E0,4.760018921E1,-4.746307373E0,4.873113554E1
3.130559292E0,9.296134949E0,4.760018921E1,-4.746307373E0,4.873113554E1
3.140569292E0,9.348007202E0,4.779902649E1,-4.542266846E0,4.891589067E1
3.150579292E0,9.348007202E0,4.779902649E1,-4.542266846E0,4.891589067E1
3.160588292E0,9.501869202E0,4.752163696E1,-4.416259766E0,4.866307479E1
3.170598292E0,9.501869202E0,4.752163696E1,-4.416259766E0,4.866307479E1
