"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.223413292E0,8.647270203E0,3.675718689E1,-9.579010010E0,3.895668752E1
4.233422292E0,8.370559692E0,3.671587372E1,-9.507049561E0,3.883948563E1
4.243432292E0,8.370559692E0,3.671587372E1,-9.507049561E0,3.883948563E1
4.253442292E0,8.628631592E0,3.623816299E1,-9.497955322E0,3.844306044E1
4.263452292E0,8.628631592E0,3.623816299E1,-9.497955322E0,3.844306044E1
4.273462292E0,8.336738586E0,3.613524246E1,-9.688903809E0,3.832925534E1
4.283471292E0,8.336738586E0,3.613524246E1,-9.688903809E0,3.832925534E1
4.293481292E0,-1.596633911E0,2.599251556E1,-1.668020630E1,3.092554587E1
4.303491292E0,-2.350692749E0,2.518910980E1,-1.756362915E1,3.079769598E1
4.313470292E0,-2.350692749E0,2.518910980E1,-1.756362915E1,3.079769598E1
4.323480292E0,-2.409187317E0,2.506908417E1,-1.753857422E1,3.068981509E1
4.333490292E0,-2.409187317E0,2.506908417E1,-1.753857422E1,3.068981509E1
4.343499292E0,-2.974514008E0,2.478652191E1,-1.795257568E1,3.074921748E1
4.353509292E0,-2.974514008E0,2.478652191E1,-1.795257568E1,3.074921748E1
4.363519292E0,-3.193241119E0,2.470712662E1,-1.792047119E1,3.068846986E1
4.373529292E0,-3.193241119E0,2.470712662E1,-1.792047119E1,3.068846986E1
4.383538292E0,-3.143642426E0,2.485326385E1,-1.791580200E1,3.079842810E1
4.393548292E0,-3.143642426E0,2.485326385E1,-1.791580200E1,3.079842810E1
4.403527292E0,-2.680557251E0,2.509482956E1,-1.755160522E1,3.074076615E1
4.413537292E0,-2.680557251E0,2.509482956E1,-1.755160522E1,3.074076615E1
4.423561083E0,-2.472770691E0,2.518003464E1,-1.757785034E1,3.080794641E1
4.433571083E0,-2.472770691E0,2.518003464E1,-1.757785034E1,3.080794641E1
4.443581083E0,-2.413818359E0,2.534756470E1,-1.746655273E1,3.087727351E1
4.453590083E0,-2.413818359E0,2.534756470E1,-1.746655273E1,3.087727351E1
4.463600083E0,5.206703186E0,3.321647263E1,-1.176657104E1,3.562156658E1
4.473610083E0,5.206703186E0,3.321647263E1,-1.176657104E1,3.562156658E1
4.483589083E0,8.343437195E0,3.603657150E1,-9.792541504E0,3.826409935E1
4.493599083E0,8.343437195E0,3.603657150E1,-9.792541504E0,3.826409935E1
4.503609083E0,8.702369690E0,3.628826141E1,-9.694824219E0,3.855591746E1
4.513618083E0,8.702369690E0,3.628826141E1,-9.694824219E0,3.855591746E1
4.523628083E0,8.449356079E0,3.623365402E1,-9.801757812E0,3.847523565E1
4.533638083E0,8.449356079E0,3.623365402E1,-9.801757812E0,3.847523565E1
4.543648083E0,8.911430359E0,3.679004288E1,-9.384887695E0,3.899996106E1
4.553657083E0,8.911430359E0,3.679004288E1,-9.384887695E0,3.899996106E1
4.563667083E0,8.782142639E0,3.666911697E1,-9.401367188E0,3.886046672E1
4.573646083E0,8.782142639E0,3.666911697E1,-9.401367188E0,3.886046672E1
4.583656083E0,8.690406799E0,3.690737915E1,-9.478973389E0,3.908361220E1
4.593666083E0,8.690406799E0,3.690737915E1,-9.478973389E0,3.908361220E1
4.603676083E0,8.559715271E0,3.651663589E1,-9.602905273E0,3.871626547E1
4.613686083E0,8.559715271E0,3.651663589E1,-9.602905273E0,3.871626547E1
4.623695083E0,8.507751465E0,3.624328232E1,-9.571014404E0,3.843906431E1
4.633705083E0,8.507751465E0,3.624328232E1,-9.571014404E0,3.843906431E1
4.643715083E0,8.549232483E0,3.635310364E1,-9.750885010E0,3.859685581E1
4.653725083E0,8.549232483E0,3.635310364E1,-9.750885010E0,3.859685581E1
4.663704083E0,7.636642456E-1,2.869789886E1,-1.529486084E1,3.252822391E1
4.673714083E0,-2.181816101E0,2.567587280E1,-1.726672363E1,3.101855107E1
4.683723083E0,-2.181816101E0,2.567587280E1,-1.726672363E1,3.101855107E1
4.693733083E0,-2.453964233E0,2.544828796E1,-1.759271240E1,3.103451031E1
4.703743083E0,-2.453964233E0,2.544828796E1,-1.759271240E1,3.103451031E1
4.713753083E0,-2.711883545E0,2.476572418E1,-1.769146729E1,3.055623376E1
4.723762083E0,-2.711883545E0,2.476572418E1,-1.769146729E1,3.055623376E1
4.733772083E0,-2.651782990E0,2.449211502E1,-1.787905884E1,3.043938889E1
4.743782083E0,-2.651782990E0,2.449211502E1,-1.787905884E1,3.043938889E1
4.753761083E0,-3.028179169E0,2.442597198E1,-1.786752319E1,3.041457482E1
4.763771083E0,-3.028179169E0,2.442597198E1,-1.786752319E1,3.041457482E1
4.773781083E0,-3.075168610E0,2.432374573E1,-1.806433105E1,3.045359297E1
4.783791083E0,-3.075168610E0,2.432374573E1,-1.806433105E1,3.045359297E1
4.793800083E0,-2.366935730E0,2.502025223E1,-1.756558228E1,3.066211159E1
4.803810083E0,-2.366935730E0,2.502025223E1,-1.756558228E1,3.066211159E1
4.813820083E0,-2.394813538E0,2.541106033E1,-1.768090820E1,3.104950296E1
4.823830083E0,-2.394813538E0,2.541106033E1,-1.768090820E1,3.104950296E1
4.833839083E0,-2.476661682E0,2.512081528E1,-1.757467651E1,3.075806346E1
4.843819083E0,-2.476661682E0,2.512081528E1,-1.757467651E1,3.075806346E1
4.853828083E0,7.625602722E0,3.500775528E1,-1.038198853E1,3.730252582E1
4.863838083E0,7.625602722E0,3.500775528E1,-1.038198853E1,3.730252582E1
4.873848083E0,8.500915527E0,3.598299408E1,-9.643554688E0,3.821046420E1
4.883858083E0,8.500915527E0,3.598299408E1,-9.643554688E0,3.821046420E1
4.893867083E0,8.704780579E0,3.619620514E1,-9.912078857E0,3.852515774E1
4.903877083E0,8.704780579E0,3.619620514E1,-9.912078857E0,3.852515774E1
4.913887083E0,8.834770203E0,3.670175934E1,-9.533721924E0,3.893538438E1
4.923897083E0,8.834770203E0,3.670175934E1,-9.533721924E0,3.893538438E1
4.933876083E0,8.853546143E0,3.685351181E1,-9.617858887E0,3.910332239E1
4.943886083E0,8.853546143E0,3.685351181E1,-9.617858887E0,3.910332239E1
4.953895083E0,9.014556885E0,3.647702408E1,-9.518188477E0,3.876121042E1
4.963905083E0,9.014556885E0,3.647702408E1,-9.518188477E0,3.876121042E1
4.973915083E0,8.724876404E0,3.613798523E1,-9.750488281E0,3.843370222E1
4.983925083E0,8.724876404E0,3.613798523E1,-9.750488281E0,3.843370222E1
4.993935083E0,8.502372742E0,3.609415817E1,-9.766540527E0,3.834662841E1
5.003944083E0,8.502372742E0,3.609415817E1,-9.766540527E0,3.834662841E1
5.013954083E0,8.564926147E0,3.594796753E1,-9.745788574E0,3.821772788E1
5.023933083E0,8.564926147E0,3.594796753E1,-9.745788574E0,3.821772788E1
5.033943083E0,8.509170532E0,3.613458633E1,-9.665191650E0,3.836052975E1
5.043953083E0,8.509170532E0,3.613458633E1,-9.665191650E0,3.836052975E1
5.053963083E0,-1.301536560E0,2.613224030E1,-1.685159302E1,3.112176357E1
5.063972083E0,-2.155441284E0,2.488973999E1,-1.735913086E1,3.042177687E1
5.073982083E0,-2.155441284E0,2.488973999E1,-1.735913086E1,3.042177687E1
5.083992083E0,-2.206924438E0,2.486413574E1,-1.750869751E1,3.049016645E1
5.094002083E0,-2.206924438E0,2.486413574E1,-1.750869751E1,3.049016645E1
5.104011083E0,-2.592563629E0,2.421974182E1,-1.810894775E1,3.035212132E1
5.113991083E0,-2.592563629E0,2.421974182E1,-1.810894775E1,3.035212132E1
5.124000083E0,-2.777515411E0,2.449685287E1,-1.795339966E1,3.049811391E1
5.134010083E0,-2.777515411E0,2.449685287E1,-1.795339966E1,3.049811391E1
5.144020083E0,-2.861400604E0,2.478683472E1,-1.804458618E1,3.079256208E1
5.154030083E0,-2.861400604E0,2.478683472E1,-1.804458618E1,3.079256208E1
5.164040083E0,-2.163345337E0,2.465798950E1,-1.776846313E1,3.046989976E1
5.174049083E0,-2.163345337E0,2.465798950E1,-1.776846313E1,3.046989976E1
5.184059083E0,-2.120506287E0,2.476400757E1,-1.756228638E1,3.043331268E1
5.194069083E0,-2.120506287E0,2.476400757E1,-1.756228638E1,3.043331268E1
5.204048083E0,-2.419342041E0,2.487094116E1,-1.757003784E1,3.054706467E1
5.214058083E0,-2.419342041E0,2.487094116E1,-1.757003784E1,3.054706467E1
5.224068083E0,5.342300415E0,3.279298019E1,-1.194647217E1,3.530776007E1
5.234077083E0,5.342300415E0,3.279298019E1,-1.194647217E1,3.530776007E1
5.244087083E0,8.387710571E0,3.608243179E1,-9.796325684E0,3.831792752E1
5.254097083E0,8.387710571E0,3.608243179E1,-9.796325684E0,3.831792752E1
5.264107083E0,8.691192627E0,3.602151108E1,-9.910705566E0,3.835763515E1
5.274116083E0,8.691192627E0,3.602151108E1,-9.910705566E0,3.835763515E1
5.284096083E0,8.648887634E0,3.587221909E1,-9.946441650E0,3.821715663E1
5.294105083E0,8.648887634E0,3.587221909E1,-9.946441650E0,3.821715663E1
5.304115083E0,9.022346497E0,3.611852264E1,-9.538391113E0,3.843086415E1
5.314125083E0,9.022346497E0,3.611852264E1,-9.538391113E0,3.843086415E1
5.324135083E0,8.995986938E0,3.637730026E1,-9.274993896E0,3.860390223E1
5.334145083E0,8.995986938E0,3.637730026E1,-9.274993896E0,3.860390223E1
5.344154083E0,8.830528259E0,3.657308578E1,-9.532043457E0,3.881273870E1
5.354164083E0,8.830528259E0,3.657308578E1,-9.532043457E0,3.881273870E1
5.364174083E0,8.571830750E0,3.600396729E1,-9.718963623E0,3.826513030E1
5.374153083E0,8.571830750E0,3.600396729E1,-9.718963623E0,3.826513030E1
5.384163083E0,8.451911926E0,3.628282166E1,-9.692474365E0,3.849444144E1
5.394173083E0,8.451911926E0,3.628282166E1,-9.692474365E0,3.849444144E1
